time_s,Tc_K
0.000000000,288.000000000
0.000000200,288.000000000
0.000000406,288.000000000
0.000000614,287.999999999
0.000000824,287.999999998
0.000001036,287.999999997
0.000001249,287.999999995
0.000001464,287.999999993
0.000001681,287.999999991
0.000001898,287.999999988
0.000002117,287.999999985
0.000002337,287.999999981
0.000002559,287.999999977
0.000002781,287.999999973
0.000003004,287.999999968
0.000003229,287.999999963
0.000003455,287.999999958
0.000003681,287.999999952
0.000003909,287.999999945
0.000004138,287.999999939
0.000004367,287.999999931
0.000004597,287.999999924
0.000004827,287.999999916
0.000005057,287.999999908
0.000005288,287.999999899
0.000005518,287.999999890
0.000005749,287.999999880
0.000005981,287.999999870
0.000006212,287.999999860
0.000006444,287.999999849
0.000006676,287.999999838
0.000006908,287.999999827
0.000007141,287.999999815
0.000007373,287.999999803
0.000007606,287.999999790
0.000007840,287.999999777
0.000008073,287.999999764
0.000008307,287.999999750
0.000008541,287.999999735
0.000008775,287.999999721
0.000009010,287.999999706
0.000009245,287.999999690
0.000009480,287.999999674
0.000009715,287.999999658
0.000009951,287.999999642
0.000010186,287.999999624
0.000010422,287.999999607
0.000010659,287.999999589
0.000010895,287.999999571
0.000011132,287.999999552
0.000011369,287.999999533
0.000011607,287.999999514
0.000011844,287.999999494
0.000012082,287.999999474
0.000012321,287.999999453
0.000012559,287.999999432
0.000012798,287.999999410
0.000013037,287.999999388
0.000013276,287.999999366
0.000013515,287.999999343
0.000013755,287.999999320
0.000013995,287.999999297
0.000014235,287.999999273
0.000014476,287.999999249
0.000014717,287.999999224
0.000014958,287.999999199
0.000015199,287.999999173
0.000015441,287.999999147
0.000015683,287.999999121
0.000015925,287.999999094
0.000016167,287.999999067
0.000016410,287.999999040
0.000016653,287.999999012
0.000016896,287.999998983
0.000017139,287.999998955
0.000017383,287.999998925
0.000017627,287.999998896
0.000017871,287.999998866
0.000018116,287.999998835
0.000018361,287.999998805
0.000018606,287.999998773
0.000018851,287.999998742
0.000019097,287.999998710
0.000019343,287.999998677
0.000019589,287.999998644
0.000019835,287.999998611
0.000020082,287.999998577
0.000020329,287.999998543
0.000020576,287.999998509
0.000020824,287.999998474
0.000021071,287.999998438
0.000021320,287.999998403
0.000021568,287.999998366
0.000021816,287.999998330
0.000022065,287.999998293
0.000022315,287.999998255
0.000022564,287.999998218
0.000022814,287.999998179
0.000023064,287.999998141
0.000023314,287.999998102
0.000023564,287.999998062
0.000023815,287.999998022
0.000024066,287.999997982
0.000024318,287.999997941
0.000024569,287.999997900
0.000024821,287.999997859
0.000025073,287.999997817
0.000025326,287.999997774
0.000025579,287.999997731
0.000025832,287.999997688
0.000026085,287.999997644
0.000026339,287.999997600
0.000026593,287.999997556
