time_s,pc_Pa
0.000000000,101325.000000000
0.000000200,101391.683447418
0.000000406,101457.503028915
0.000000614,101522.993418637
0.000000824,101588.241491975
0.000001036,101653.292154019
0.000001249,101718.174058510
0.000001464,101782.907528803
0.000001681,101847.507942583
0.000001898,101911.987457225
0.000002117,101976.355994778
0.000002337,102040.621850885
0.000002559,102104.792094257
0.000002781,102168.872841083
0.000003004,102232.869450611
0.000003229,102296.786668817
0.000003455,102360.628736628
0.000003681,102424.399473203
0.000003909,102488.102341203
0.000004138,102551.740498775
0.000004367,102615.365623167
0.000004597,102679.055456347
0.000004827,102742.810063237
0.000005057,102806.629508828
0.000005288,102870.513858173
0.000005518,102934.463176389
0.000005749,102998.477528662
0.000005981,103062.556980240
0.000006212,103126.701596438
0.000006444,103190.911442636
0.000006676,103255.186584279
0.000006908,103319.527086878
0.000007141,103383.933016009
0.000007373,103448.404437314
0.000007606,103512.941416502
0.000007840,103577.544019345
0.000008073,103642.212311684
0.000008307,103706.946359423
0.000008541,103771.746228533
0.000008775,103836.611985053
0.000009010,103901.543695084
0.000009245,103966.541424798
0.000009480,104031.605240430
0.000009715,104096.735208281
0.000009951,104161.931394721
0.000010186,104227.193866184
0.000010422,104292.522689173
0.000010659,104357.917930254
0.000010895,104423.379656062
0.000011132,104488.907933300
0.000011369,104554.502828735
0.000011607,104620.164409202
0.000011844,104685.892741602
0.000012082,104751.687892906
0.000012321,104817.549930149
0.000012559,104883.478920433
0.000012798,104949.474930929
0.000013037,105015.538028875
0.000013276,105081.668281575
0.000013515,105147.865756401
0.000013755,105214.130520793
0.000013995,105280.462642259
0.000014235,105346.862188372
0.000014476,105413.329226775
0.000014717,105479.863825178
0.000014958,105546.466051359
0.000015199,105613.135973164
0.000015441,105679.873658506
0.000015683,105746.679175367
0.000015925,105813.552591797
0.000016167,105880.493975913
0.000016410,105947.503395901
0.000016653,106014.580920016
0.000016896,106081.726616580
0.000017139,106148.940553984
0.000017383,106216.222800688
0.000017627,106283.573425219
0.000017871,106350.992496175
0.000018116,106418.480082220
0.000018361,106486.036252089
0.000018606,106553.661074584
0.000018851,106621.354618577
0.000019097,106689.116953009
0.000019343,106756.948146889
0.000019589,106824.848269297
0.000019835,106892.817389379
0.000020082,106960.855576355
0.000020329,107028.962899509
0.000020576,107097.139428197
0.000020824,107165.385231846
0.000021071,107233.700379950
0.000021320,107302.084942072
0.000021568,107370.538987848
0.000021816,107439.062586981
0.000022065,107507.655809244
0.000022315,107576.318724481
0.000022564,107645.051402605
0.000022814,107713.853913600
0.000023064,107782.726327519
0.000023314,107851.668714484
0.000023564,107920.681144691
0.000023815,107989.763688403
0.000024066,108058.916415955
0.000024318,108128.139397751
0.000024569,108197.432704266
0.000024821,108266.796406046
0.000025073,108336.230573709
0.000025326,108405.735277940
0.000025579,108475.310589498
0.000025832,108544.956579212
0.000026085,108614.673317981
0.000026339,108684.460876777
0.000026593,108754.319326640
0.000026847,108824.248738684
0.000027101,108894.249184093
0.000027356,108964.320734122
0.000027611,109034.463460098
0.000027866,109104.677433419
0.000028122,109174.962725555
0.000028378,109245.319408047
0.000028634,109315.747552507
0.000028890,109386.247230621
0.000029147,109456.818514144
0.000029404,109527.461474905
0.000029661,109598.176184803
0.000029919,109668.962715811
0.000030176,109739.821139973
0.000030435,109810.751529406
0.000030693,109881.753956296
0.000030952,109952.828492907
0.000031211,110023.975211569
0.000031470,110095.194184690
0.000031729,110166.485484747
0.000031989,110237.849184290
0.000032249,110309.285355943
0.000032510,110380.794072402
0.000032771,110452.375406436
0.000033032,110524.029430886
0.000033293,110595.756218668
0.000033554,110667.555842767
0.000033816,110739.428376246
0.000034078,110811.373892237
0.000034341,110883.392463949
0.000034604,110955.484164661
0.000034867,111027.649067727
0.000035130,111099.887246574
0.000035393,111172.198774703
0.000035657,111244.583725689
0.000035922,111317.042173179
0.000036186,111389.574190896
0.000036451,111462.179852634
0.000036716,111534.859232263
0.000036981,111607.612403726
0.000037247,111680.439441042
0.000037513,111753.340418302
0.000037779,111826.315409670
0.000038046,111899.364489389
0.000038313,111972.487731771
0.000038580,112045.685211206
0.000038847,112118.957002158
0.000039115,112192.303179163
0.000039383,112265.723816834
0.000039651,112339.218989860
0.000039920,112412.788773001
0.000040189,112486.433241095
0.000040458,112560.152469053
0.000040727,112633.946531863
0.000040997,112707.815504586
0.000041267,112781.759462359
0.000041538,112855.778480395
0.000041809,112929.872633982
0.000042080,113004.041998482
0.000042351,113078.286649334
0.000042622,113152.606662053
0.000042894,113227.002112228
0.000043167,113301.473075523
0.000043439,113376.019627682
0.000043712,113450.641844520
0.000043985,113525.339801931
0.000044259,113600.113575883
0.000044532,113674.963242421
0.000044806,113749.888877668
0.000045081,113824.890557819
0.000045355,113899.968359150
0.000045630,113975.122358010
0.000045906,114050.352630825
0.000046181,114125.659254100
0.000046457,114201.042304412
0.000046733,114276.501858420
0.000047010,114352.037992856
0.000047287,114427.650784531
0.000047564,114503.340310330
0.000047841,114579.106647219
0.000048119,114654.949872238
0.000048397,114730.870062506
0.000048675,114806.867295218
0.000048954,114882.941647646
0.000049233,114959.093197142
0.000049512,115035.322021132
0.000049792,115111.628197121
0.000050072,115188.011802693
0.000050352,115264.472915508
0.000050632,115341.011613304
0.000050913,115417.627973897
0.000051194,115494.322075182
0.000051476,115571.093995130
0.000051758,115647.943811792
0.000052040,115724.871603296
0.000052322,115801.877447848
0.000052605,115878.961423733
0.000052888,115956.123609315
0.000053171,116033.364083036
0.000053455,116110.682923416
0.000053739,116188.080209053
0.000054023,116265.556018626
0.000054308,116343.110430890
0.000054593,116420.743524683
0.000054878,116498.455378917
0.000055164,116576.246072586
0.000055450,116654.115684763
0.000055736,116732.064294599
0.000056022,116810.091981325
0.000056309,116888.198824253
0.000056596,116966.384902770
0.000056884,117044.650296348
0.000057172,117122.995084534
0.000057460,117201.419346957
0.000057748,117279.923163325
0.000058037,117358.506613428
0.000058326,117437.169777131
0.000058616,117515.912734385
0.000058906,117594.735565216
0.000059196,117673.638349734
0.000059486,117752.621168126
0.000059777,117831.684100662
0.000060068,117910.827227690
0.000060359,117990.050629641
0.000060651,118069.354387025
0.000060943,118148.738580432
0.000061235,118228.203290534
0.000061528,118307.748598084
0.000061821,118387.374583915
0.000062114,118467.081328942
0.000062408,118546.868914159
0.000062702,118626.737420643
0.000062997,118706.686929552
0.000063291,118786.717522125
0.000063586,118866.829279682
0.000063882,118947.022283625
0.000064177,119027.296615437
0.000064473,119107.652356683
0.000064770,119188.089589010
0.000065066,119268.608394146
0.000065363,119349.208853902
0.000065660,119429.891050169
0.000065958,119510.655064923
0.000066256,119591.500980219
0.000066554,119672.428878195
0.000066853,119753.438841074
0.000067152,119834.530951158
0.000067451,119915.705290832
0.000067751,119996.961942565
0.000068051,120078.300988908
0.000068352,120159.722512494
0.000068652,120241.226596040
0.000068953,120322.813322343
0.000069255,120404.482774288
0.000069556,120486.235034838
0.000069858,120568.070187041
0.000070161,120649.988314030
0.000070463,120731.989499018
0.000070766,120814.073825305
0.000071070,120896.241376270
0.000071374,120978.492235379
0.000071678,121060.826486182
0.000071982,121143.244212309
0.000072287,121225.745497477
0.000072592,121308.330425486
0.000072897,121390.999080220
0.000073203,121473.751545646
0.000073509,121556.587905817
0.000073816,121639.508244869
0.000074123,121722.512647022
0.000074430,121805.601196581
0.000074737,121888.773977935
0.000075045,121972.031075559
0.000075353,122055.372574011
0.000075662,122138.798557933
0.000075971,122222.309112054
0.000076280,122305.904321187
0.000076590,122389.584270229
0.000076900,122473.349044163
0.000077210,122557.198728058
0.000077521,122641.133407066
0.000077832,122725.153166426
