time_s,Tc_K
0.000000000,1838.713656176
0.000638962,1837.996834230
0.004989643,1837.403489236
0.006019111,1838.176955558
0.008394368,1837.518687542
0.009571909,1838.295634114
0.011401987,1837.619593442
0.012749914,1838.401616016
0.014269182,1837.715800907
0.015832246,1838.504412481
0.017137061,1837.811774089
0.018996233,1838.609871520
0.020136168,1837.912212389
0.022454044,1838.725195235
0.023455776,1838.023395183
0.026643485,1838.865103194
0.027516951,1838.159490165
0.033409051,1839.090992618
0.034132881,1838.381587684
0.049529269,1838.163453011
0.050907138,1838.946840270
0.052426037,1838.263044535
0.054031191,1839.050105351
0.055335495,1838.361168198
0.057256912,1839.157207835
0.058395233,1838.463843197
0.060817269,1839.275554581
0.061815489,1838.578371024
0.065230929,1839.422882266
0.066096950,1838.721857399
0.073115318,1839.686216825
0.073815662,1838.980911578
0.081592655,1838.512398488
0.082680062,1839.278231787
0.084960668,1838.626277389
0.086208751,1839.395910748
0.087992891,1838.728084707
0.089431439,1839.503337331
0.090920437,1838.826089788
0.092606723,1839.609059774
0.093887459,1838.925316378
0.095929495,1839.719844655
0.097046869,1839.031020035
0.099679759,1839.844743787
0.100656665,1839.151844913
0.104588701,1840.008537613
0.105427562,1839.311691689
0.116731668,1840.414548361
0.117353270,1839.712111347
0.120419084,1839.090693204
0.121566974,1839.852773130
0.123690182,1839.200703993
0.125010225,1839.967545579
0.126708600,1839.301723147
0.128239710,1840.075139898
0.129670329,1839.400763670
0.131485629,1840.183288356
0.132720871,1839.502828166
0.134964552,1840.299125796
0.136042271,1839.613878901
0.139060578,1840.435590256
0.139997682,1839.746281921
0.145122639,1840.637708964
0.145908079,1839.944261868
0.194364826,1841.276417779
0.195236428,1840.597924260
0.206071791,1841.681177254
0.206719602,1840.986125347
0.210066265,1840.376983679
0.211236043,1841.135437128
0.213456460,1840.495202722
0.214810284,1841.253940359
0.216565018,1840.600238206
0.218144276,1841.364574653
0.219612475,1840.702333480
0.221498345,1841.476031376
0.222759646,1840.807610482
0.225117421,1841.596325375
0.226212418,1840.922972219
0.229460909,1841.740927351
0.230406341,1841.063197905
0.236408105,1841.972467528
0.237184012,1841.290101645
0.253398442,1841.123062455
0.254959626,1841.887952549
0.256476855,1841.228821541
0.258339772,1841.998977727
0.259637766,1841.335328289
0.261958318,1842.118664380
0.263082360,1841.450557414
0.266248028,1842.261154707
0.267217932,1841.588813682
0.272840344,1842.480368643
0.273641422,1841.803659292
0.300998626,1842.015338242
0.304552055,1842.852561027
0.305489442,1842.171745970
0.313105960,1843.117076245
0.313851391,1842.448674153
0.320758798,1841.992487540
0.321942765,1842.718961989
0.324374536,1842.106448750
0.325750579,1842.846449540
0.327617328,1842.213116531
0.329229639,1842.962502329
0.330770486,1842.317825330
0.332706026,1843.078156708
0.334018494,1842.426023366
0.336457325,1843.202815876
0.337589061,1842.545086309
0.341003124,1843.353931803
0.341973096,1842.691366878
0.348678405,1843.609336404
0.349459788,1842.941607925
0.359823094,1842.592745017
0.361122498,1843.331793648
0.363214855,1842.707752645
0.364734169,1843.451451216
0.366416198,1842.814945625
0.368222485,1843.567164910
0.369637084,1842.922470377
0.371865925,1843.687936782
0.373079352,1843.037318240
0.376049946,1843.826785087
0.377093117,1843.171128786
0.381944918,1844.022626777
0.382815913,1843.362110414
0.410948981,1844.687223707
0.411590281,1844.024115784
0.414122929,1843.423645825
0.415534676,1844.155306697
0.417453843,1843.534318782
0.419118059,1844.274324051
0.420691959,1843.641983386
0.422705617,1844.393463516
0.424039683,1843.753403218
0.426610856,1844.523057114
0.427755342,1843.877199387
0.431466126,1844.684142861
0.432438862,1844.033274900
0.440844058,1844.995595379
0.441598195,1844.338986934
0.447296517,1843.846126504
0.448523476,1844.569588537
0.451043653,1843.972046778
0.452483656,1844.700914660
0.454397840,1844.083971892
0.456101424,1844.820844084
0.457671651,1844.193008519
0.459744711,1844.941598258
0.461074708,1844.306254887
0.463749962,1845.074222918
0.464888697,1844.433210346
0.468853903,1845.243437106
0.469816313,1844.597304747
0.480330087,1845.624527913
0.481043944,1844.971861182
0.484847519,1844.421209169
0.486135971,1845.140974675
0.488495456,1844.543047240
0.490010787,1845.269442270
0.491843326,1844.654556453
0.493649615,1845.389953562
0.495165160,1844.765106082
0.497395541,1845.514019546
0.498682311,1844.882153941
0.501649408,1845.654760860
0.502748074,1845.017389457
0.507545565,1845.850277502
0.508459095,1845.207553308
0.533962364,1846.531426629
0.534592480,1845.883973625
0.536742906,1845.286504420
0.538384456,1846.009730827
0.540099644,1845.397889306
0.542084492,1846.132273280
0.543517378,1845.511310766
0.546038185,1846.263182301
0.547257010,1845.635534438
0.550833851,1846.421905254
0.551865825,1845.788768125
0.559258908,1846.700532505
0.560071979,1846.061734507
0.568286155,1845.668473108
0.569614754,1846.379150316
0.571998722,1845.792753821
0.573570056,1846.509928423
0.575416191,1845.906548124
0.577303775,1846.633374061
0.578826413,1846.019863708
0.581187058,1846.761666328
0.582475313,1846.141029724
0.585699434,1846.910751933
0.586792364,1846.284354627
0.592473545,1847.135068927
0.593363782,1846.502794993
0.628786676,1847.015607186
0.668479224,1848.359686578
0.669797356,1847.349656744
0.672369797,1848.226191937
0.673591799,1847.529485368
0.677424422,1848.330423656
0.678469241,1847.699523664
0.687545538,1848.638174171
0.688341226,1848.022956400
0.693597011,1847.560465732
0.694951770,1848.242239021
0.697510091,1847.683589666
