time_s,pc_Pa
0.000000000,2746962.254736341
0.000638962,2743151.545164568
0.004989643,2739529.044654956
0.006019111,2743416.149943104
0.008394368,2739696.850918071
0.009571909,2743589.599211799
0.011401987,2739843.604115484
0.012749914,2743744.208223586
0.014269182,2739983.450417055
0.015832246,2743894.089781363
0.017137061,2740122.982148569
0.018996233,2744047.923488244
0.020136168,2740269.155370487
0.022454044,2744216.400545755
0.023455776,2740431.275504589
0.026643485,2744421.372930559
0.027516951,2740630.349382111
0.033409051,2744753.989682109
0.034132881,2740956.972863818
0.049529269,2737892.673735378
0.050907138,2741792.462219514
0.052426037,2738037.456605028
0.054031191,2741942.870122451
0.055335495,2738180.074029026
0.057256912,2742098.968689674
0.058395233,2738329.439866502
0.060817269,2742271.742296779
0.061815489,2738496.369472085
0.065230929,2742487.494541727
0.066096950,2738706.204123382
0.073115318,2742875.287129535
0.073815662,2739087.256671271
0.081592655,2735654.522542593
0.082680062,2739524.999736900
0.084960668,2735820.326419114
0.086208751,2739696.603521753
0.087992891,2735968.265914780
0.089431439,2739853.018070598
0.090920437,2736110.578845044
0.092606723,2740006.907654072
0.093887459,2736254.700010696
0.095929495,2740168.296887064
0.097046869,2736408.407540110
0.099679759,2740350.596212696
0.100656665,2736584.494848826
0.104588701,2740590.517885356
0.105427562,2736818.335486759
0.116731668,2741189.284424219
0.117353270,2737408.229892310
0.120419084,2733751.781624751
0.121566974,2737613.675006422
0.123690182,2733911.703306983
0.125010225,2737780.802970681
0.126708600,2734058.330294074
0.128239710,2737937.306784754
0.129670329,2734202.031567153
0.131485629,2738094.630363980
0.132720871,2734350.203620438
0.134964552,2738263.333457926
0.136042271,2734511.661922964
0.139060578,2738462.564461112
0.139997682,2734704.690026565
0.145122639,2738758.964199906
0.145908079,2734994.675606370
0.194364826,2735849.937654371
0.195236428,2732112.075007633
0.206071791,2736445.409809359
0.206719602,2732682.505074736
0.210066265,2729051.099331117
0.211236043,2732900.223324846
0.213456460,2729222.742046617
0.214810284,2733072.454053630
0.216565018,2729374.937708393
0.218144276,2733233.066490095
0.219612475,2729522.796100440
0.221498345,2733394.892869906
0.222759646,2729675.347047095
0.225117421,2733569.766707671
0.226212418,2729842.772368111
0.229460909,2733780.529456147
0.230406341,2730046.870883040
0.236408105,2734119.650778083
0.237184012,2730378.816243174
0.253398442,2727402.059662863
0.254959626,2731257.890911654
0.256476855,2727555.165729294
0.258339772,2731418.917728022
0.259637766,2727709.373271132
0.261958318,2731592.719781126
0.263082360,2727876.433184254
0.266248028,2731800.156033724
0.267217932,2728077.423197584
0.272840344,2732120.756208175
0.273641422,2728391.266263386
0.300998626,2725974.226329225
0.304552055,2729934.043614908
0.305489442,2726201.726260277
0.313105960,2730321.083456652
0.313851391,2726606.634320265
0.320758798,2723208.961194711
0.321942765,2727001.768934806
0.324374536,2723373.810287817
0.325750579,2727186.704546254
